strain	stress
0.0010	48.21414751
0.001129966	49.84205036
0.002259932	51.46999414
0.0034785	53.09683222
0.004740688	54.72315363
0.006002877	56.34952429
0.007408526	57.97386473
0.008822194	59.59814769
0.010283547	61.22171176
0.011868584	62.8433245
0.01345362	64.46500753
0.015197151	66.08379856
0.017018041	67.70122655
0.018876139	69.31794011
0.020948014	70.93015384
0.023019889	72.54246944
0.025303268	74.14966012
0.027672129	75.75485702
0.030155924	77.35692317
0.032830853	78.95371666
0.035548162	80.54929662
0.038529774	82.13657437
0.041511386	83.72401634
0.044817197	85.29998608
0.048123691	86.87611865
0.051758586	88.43924776
0.055412864	90.00178868
0.059452236	91.54719394
0.063557751	93.08949912
0.06799589	94.61526828
0.072581639	96.13306903
0.077376022	97.63951458
0.082393727	99.13273351
0.087531499	100.6187894
0.092944108	102.087203
0.098551679	103.5421749
0.104332974	104.9849998
0.110441014	106.4031279
0.11675833	107.8043272
0.123273689	109.1889363
0.130017294	110.5536599
0.137086601	111.8876038
0.144410946	113.1956345
0.152008627	114.4743577
0.159894275	115.7202782
0.168077716	116.9299192
0.176567783	118.0993904
0.185410346	119.2183756
0.194602039	120.2822552
0.204217474	121.2712751
0.214347451	122.1544767
0.224978756	122.9134442
0.236089454	123.5206589
0.247598356	123.9503812
0.259364996	124.1816564
0.271212925	124.2077516
0.282977815	124.0506756
0.294538448	123.7272562
0.305795615	123.249743
0.316679661	122.63258
0.327176089	121.89951
0.337292559	121.0705161
0.346989059	120.1509295
0.35654314	119.2028194
0.366023199	118.2398691
0.375460491	117.2682816
0.384857661	116.2886324
0.394218026	115.3015676
0.403601065	114.3180061
0.413059448	113.3478789
0.422634335	112.399197
0.432341497	111.4758353
0.44219593	110.5821635
0.452177038	109.7152759
0.462332542	108.8877024
0.472680234	108.1060968
0.483208074	107.3708513
0.493904819	106.6827008
0.504769306	106.0452819
0.515758991	105.4490238
0.526853375	104.8898265
0.53805353	104.3711343
0.549352972	103.8939025
0.560726544	103.4502
0.572140191	103.0256244
0.583591624	102.6199682
0.595074997	102.2310248
0.606590603	101.8597409
0.618126235	101.4997899
0.629680758	101.1508922
0.641259812	100.8169549
0.652861576	100.4975905
0.664502282	100.2051395
0.676192889	99.95097452
0.687929934	99.73822178
0.699702113	99.56176072
0.711476032	99.38704403
0.723229899	99.1901945
0.734961627	98.97114903
0.746683356	98.74251769
0.758423307	98.53105012
0.770194428	98.35249519
0.781990422	98.20466381
0.793802012	98.07918285
0.805622267	97.96769777
0.817448568	97.86697715
0.829279741	97.77562323
0.841116364	97.69586133
0.852958822	97.6302495
0.86480748	97.58289706
0.876661138	97.5540185
0.888518103	97.54297058
0.900377543	97.56238853
0.912236296	97.60804919
0.924094659	97.65784374
0.935953008	97.70785133
0.947811169	97.75958065
0.959668703	97.81636675
0.971526256	97.87309785
0.983383398	97.93272573
0.995240512	97.99264965
1.007097208	98.0553772
1.018950994	98.13246146
1.030801139	98.22451756
1.042645553	98.33416218
1.054468866	98.48860812
1.066251767	98.70252797
1.077999318	98.95735726
1.089785962	99.16751201
1.101607636	99.32602555
1.113427205	99.48905019
1.125228768	99.68070089
1.137029603	99.87324232
1.148858026	100.0194498
1.160660727	100.0347277


